Date Time Field[G] Current[A] Source Channel
02-06-2022 23-14-59 -0.175 -0.0005 "Power supplay" 1
02-06-2022 23-15-03 -0.175 -0.0005 "Power supplay" 1
02-06-2022 23-47-57 -19999.07 -57.1402 "Power supplay" 1
02-06-2022 23-48-01 -19999.07 -57.1402 "Power supplay" 1
02-06-2022 23-57-10 0.98 0.0028 "Power supplay" 1
02-06-2022 23-57-13 0.98 0.0028 "Power supplay" 1
03-06-2022 00-18-58 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 00-19-02 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 00-32-31 9998.82 15.3828 "Power supplay" 2
03-06-2022 00-32-34 9998.82 15.3828 "Power supplay" 2
03-06-2022 00-46-04 -9999.015 -15.3831 "Power supplay" 2
03-06-2022 00-46-08 -9999.015 -15.3831 "Power supplay" 2
03-06-2022 00-59-38 9998.95 15.383 "Power supplay" 2
03-06-2022 00-59-41 9998.95 15.383 "Power supplay" 2
03-06-2022 01-13-09 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 01-13-13 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 01-26-40 9998.69 15.3826 "Power supplay" 2
03-06-2022 01-26-44 9998.69 15.3826 "Power supplay" 2
03-06-2022 01-33-48 1.235 0.0019 "Power supplay" 2
03-06-2022 01-33-52 1.235 0.0019 "Power supplay" 2
03-06-2022 09-47-12 9998.82 15.3828 "Power supplay" 2
03-06-2022 10-01-39 19999.175 57.1405 "Power supplay" 1
03-06-2022 10-01-43 19999.175 57.1405 "Power supplay" 1
03-06-2022 10-38-10 9999.015 15.3831 "Power supplay" 2
03-06-2022 10-38-24 9999.405 15.3837 "Power supplay" 2
03-06-2022 10-38-28 9999.405 15.3837 "Power supplay" 2
03-06-2022 10-51-56 -9998.69 -15.3826 "Power supplay" 2
03-06-2022 10-51-59 -9998.69 -15.3826 "Power supplay" 2
03-06-2022 11-05-29 9998.885 15.3829 "Power supplay" 2
03-06-2022 11-05-32 9998.885 15.3829 "Power supplay" 2
03-06-2022 11-19-01 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 11-19-05 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 11-32-34 9998.885 15.3829 "Power supplay" 2
03-06-2022 11-32-37 9998.885 15.3829 "Power supplay" 2
03-06-2022 11-46-08 -9999.08 -15.3832 "Power supplay" 2
03-06-2022 11-46-11 -9999.08 -15.3832 "Power supplay" 2
03-06-2022 11-59-40 9998.95 15.383 "Power supplay" 2
03-06-2022 11-59-44 9998.95 15.383 "Power supplay" 2
03-06-2022 11-59-50 9999.795 15.3843 "Power supplay" 2
03-06-2022 12-14-45 -19998.965 -57.1399 "Power supplay" 1
03-06-2022 12-14-48 -19998.965 -57.1399 "Power supplay" 1
03-06-2022 12-24-20 202.125 0.5775 "Power supplay" 1
03-06-2022 12-24-23 202.125 0.5775 "Power supplay" 1
03-06-2022 12-27-17 9998.885 15.3829 "Power supplay" 2
03-06-2022 12-40-46 -9998.82 -15.3828 "Power supplay" 2
03-06-2022 12-40-50 -9998.82 -15.3828 "Power supplay" 2
03-06-2022 12-54-19 9998.885 15.3829 "Power supplay" 2
03-06-2022 12-54-22 9998.885 15.3829 "Power supplay" 2
03-06-2022 13-07-52 -9998.95 -15.383 "Power supplay" 2
03-06-2022 13-07-56 -9998.95 -15.383 "Power supplay" 2
03-06-2022 13-21-24 9998.69 15.3826 "Power supplay" 2
03-06-2022 13-21-27 9998.69 15.3826 "Power supplay" 2
03-06-2022 13-34-56 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 13-35-00 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 13-48-29 9998.885 15.3829 "Power supplay" 2
03-06-2022 13-48-32 9998.885 15.3829 "Power supplay" 2
03-06-2022 13-55-37 1.105 0.0017 "Power supplay" 2
03-06-2022 13-55-40 1.105 0.0017 "Power supplay" 2
03-06-2022 17-16-10 10000.12 15.3848 "Power supplay" 2
03-06-2022 17-30-35 19999.42 57.1412 "Power supplay" 1
03-06-2022 17-30-38 19999.42 57.1412 "Power supplay" 1
03-06-2022 18-06-30 9999.015 15.3831 "Power supplay" 2
03-06-2022 18-07-04 9999.08 15.3832 "Power supplay" 2
03-06-2022 18-07-07 9999.08 15.3832 "Power supplay" 2
03-06-2022 18-20-37 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 18-20-40 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 18-34-08 9998.69 15.3826 "Power supplay" 2
03-06-2022 18-34-11 9998.69 15.3826 "Power supplay" 2
03-06-2022 18-47-41 -9999.015 -15.3831 "Power supplay" 2
03-06-2022 18-47-44 -9999.015 -15.3831 "Power supplay" 2
03-06-2022 19-01-14 9998.885 15.3829 "Power supplay" 2
03-06-2022 19-01-17 9998.885 15.3829 "Power supplay" 2
03-06-2022 19-14-48 -9999.08 -15.3832 "Power supplay" 2
03-06-2022 19-14-51 -9999.08 -15.3832 "Power supplay" 2
03-06-2022 19-28-20 9998.625 15.3825 "Power supplay" 2
03-06-2022 19-28-23 9998.625 15.3825 "Power supplay" 2
03-06-2022 19-28-30 10000.38 15.3852 "Power supplay" 2
03-06-2022 19-42-51 -19998.86 -57.1396 "Power supplay" 1
03-06-2022 19-42-54 -19998.86 -57.1396 "Power supplay" 1
03-06-2022 19-52-10 200.83 0.5738 "Power supplay" 1
03-06-2022 19-52-13 200.83 0.5738 "Power supplay" 1
03-06-2022 19-55-06 10000.38 15.3852 "Power supplay" 2
03-06-2022 20-08-35 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 20-08-38 -9998.755 -15.3827 "Power supplay" 2
03-06-2022 20-22-08 9999.015 15.3831 "Power supplay" 2
03-06-2022 20-22-12 9999.015 15.3831 "Power supplay" 2
03-06-2022 20-35-41 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 20-35-44 -9998.885 -15.3829 "Power supplay" 2
03-06-2022 20-49-13 9998.82 15.3828 "Power supplay" 2
03-06-2022 20-49-17 9998.82 15.3828 "Power supplay" 2
03-06-2022 21-02-46 -9998.82 -15.3828 "Power supplay" 2
03-06-2022 21-02-49 -9998.82 -15.3828 "Power supplay" 2
03-06-2022 21-16-18 9998.885 15.3829 "Power supplay" 2
03-06-2022 21-16-22 9998.885 15.3829 "Power supplay" 2
03-06-2022 21-23-28 1.04 0.0016 "Power supplay" 2
03-06-2022 21-23-31 1.04 0.0016 "Power supplay" 2
04-06-2022 00-06-38 9998.82 15.3828 "Power supplay" 2
04-06-2022 00-21-22 20038.34 57.2524 "Power supplay" 1
04-06-2022 00-21-25 20038.34 57.2524 "Power supplay" 1
